Designator,Mid X,Mid Y,Rotation,Layer
C1,81.38,-13.64,0.0,top
C10,6.825,-58.155,90.0,top
C12,4.045,-58.135,270.0,top
C13,29.29,-37.68,0.0,top
C14,4.33,-35.0,0.0,top
C15,253.88,63.445,0.0,top
C16,31.245,-55.29,0.0,top
C17,32.2425,-56.93,0.0,top
C18,248.38,85.445,0.0,top
C19,253.88,59.505,0.0,top
C2,82.3575,-12.08,180.0,top
C20,13.8575,-63.53,180.0,top
C21,93.4,-56.1684,90.0,top
C22,16.31,-16.63,270.0,top
C23,53.65,-27.67,180.0,top
C25,248.38,79.425,0.0,top
C26,43.62,-39.46,0.0,top
C27,52.31,-18.34,180.0,top
C28,57.7,-27.235,90.0,top
C29,66.88,-27.235,90.0,top
C3,113.73,-33.8375,90.0,top
C30,141.08,56.885,0.0,top
C31,141.08,54.375,0.0,top
C32,57.16,-43.34,180.0,top
C33,56.21,-45.0,0.0,top
C34,65.31,-51.0,0.0,top
C35,66.25,-52.7,0.0,top
C36,75.2475,-51.0,0.0,top
C37,76.1975,-52.67,0.0,top
C4,115.41,-32.88,90.0,top
C5,42.48,-26.62,270.0,top
C6,46.03,-26.61,270.0,top
C7,49.18,-43.48,0.0,top
C8,50.08,-45.13,180.0,top
C9,25.0,-37.68,0.0,top
D1,129.682499,-59.005,90.0,top
D10,95.17,-57.19,90.0,bottom
D11,117.37,-57.54,90.0,bottom
D12,112.33,-57.19,90.0,bottom
D13,4.81,-23.185,0.0,top
D14,4.8275,-25.26,0.0,top
D15,26.09,-29.67,0.0,top
D16,32.15,-33.7125,270.0,top
D2,119.483874,-59.005,90.0,top
D3,109.2815,-59.005,90.0,top
D4,98.77,-59.04,270.0,top
D5,65.57,-57.54,90.0,bottom
D6,60.85,-57.235,270.0,bottom
D7,78.01,-57.19,90.0,bottom
D8,82.836668,-57.54,90.0,bottom
D9,100.103334,-57.54,90.0,bottom
J1,99.81,-3.275,180.0,top
J2,38.85,-3.275,180.0,top
J3,99.8,-71.805,0.0,bottom
J4,38.84,-71.805,0.0,top
J5,-0.9325,-30.16,270.0,top
J6,-19.81,-32.18,90.0,top
J7,-18.21,-20.09,270.0,top
J8,33.345,-29.64,90.0,top
J9,26.37,-34.16,0.0,top
K1,216.556666,-22.46,270.0,top
K2,199.433333,-22.46,270.0,top
K3,182.31,-22.46,270.0,top
K5,233.68,-22.46,270.0,top
L1,39.7,-16.79,90.0,top
Q1,124.652499,-59.9825,270.0,top
Q10,15.9725,-32.64,180.0,top
Q2,114.477208,-59.9825,270.0,top
Q3,104.298167,-59.9825,270.0,top
Q4,93.81,-59.9725,270.0,top
Q5,86.165834,-57.735,180.0,bottom
Q6,68.93,-57.735,180.0,bottom
Q7,103.401667,-57.735,180.0,bottom
Q8,120.6375,-57.735,180.0,bottom
Q9,15.9725,-28.74,180.0,top
R1,127.452499,-59.6,270.0,top
R10,95.0025,-44.53,180.0,top
R11,93.87,-63.03,0.0,top
R12,96.59,-59.59,270.0,top
R13,90.743334,-58.705,0.0,bottom
R14,90.736666,-44.455,180.0,bottom
R15,80.823334,-57.785,90.0,bottom
R16,73.536666,-44.525,180.0,bottom
R17,63.55,-57.785,90.0,bottom
R18,73.54,-58.705,0.0,bottom
R19,107.946666,-44.565,180.0,bottom
R2,124.652499,-63.04,0.0,top
R20,98.096667,-57.785,90.0,bottom
R21,107.946667,-58.705,0.0,bottom
R22,125.056666,-44.385,180.0,bottom
R23,115.37,-57.785,270.0,bottom
R24,125.15,-58.705,0.0,bottom
R25,129.389177,-25.51,180.0,top
R26,129.428817,-11.73,180.0,top
R27,123.751225,-11.73,180.0,top
R28,123.711585,-25.51,180.0,top
R29,117.572908,-11.73,180.0,top
R3,126.104999,-44.54,180.0,top
R30,117.533268,-25.51,180.0,top
R31,111.375926,-11.73,180.0,top
R32,111.336286,-25.51,180.0,top
R33,105.216274,-11.73,180.0,top
R34,105.176634,-25.51,180.0,top
R35,99.037957,-11.73,180.0,top
R36,98.998317,-25.51,180.0,top
R37,92.85964,-11.73,180.0,top
R38,92.82,-25.51,180.0,top
R39,86.681323,-11.73,180.0,top
R4,115.84304,-44.54,180.0,top
