Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C16, C17, C2, C20, C23, C3, C4, C9",0402,13,0.1uF, C60474
"C14, C22, C5, C6",0603,4,22uF, C59461
C18,0805,1,10uF,C15850
C28,C_Elec_10x10.2,1,100uF, C28241
C29,C_Elec_6.3x7.7,1,220uF,C4747974
C8,C_Elec_10x10.2,1,1000uF, C189257
"D1, D12, D16, D2, D20, D21, D25, D26, D3, D4, D5, D6, D7, D8, D9",0805,15,LED,C2296
"D10, D11, D14, D18, D22, D23",D_SOD-123F,6,DIODE,C2892326
D24,D_SMA,1,SS54,C22452
"H1, H2, H3",MountingHole_3.2mm_M3_Pad_TopBottom,3,MountingHole,
J1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
J2,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,C2972784
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
"J4, J5, J8",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02_Socket,
"J6, J7","TerminalBlock_Phoenix_MKDS-1,5-16-5.08_1x16_P5.08mm_Horizontal",2,Screw_Terminal_01x16,
J9,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Socket,
"JP1, JP11, JP2, JP3, JP4",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,5,SolderJumper_2_Open,
"JP10, JP12, JP14, JP5, JP6, JP7, JP8, JP9",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,8,SolderJumper_3_Open,
"K1, K2, K3, K4, K5, K7",Relay_DPDT_Kemet_EE2_NU,6,EE2-5NU,C397130
L1,L_Chilisin_BMRF00101040,1,33uH,C408490
"Q1, Q2",SOT-23,2,BSS138,C426569
"Q3, Q4, Q5, Q6, Q7, Q9",TSOT-23,6,Q_NPN_BEC,C2150
"R1, R10, R11, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R3, R35, R38, R39, R4, R42, R43, R7, R8, R9",0603,29,1K,C21190
"R12, R13, R5, R6",0805,4,220,C229164
"R29, R30",0805,2,20K,C163978
R31,0805,1,120,C2907224
R32,0603,1,10K,C25804
R33,0603,1,40.2K,C100703
R44,0805,1,330,C17630
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,C2689642
"TP1, TP2, TP3, TP4",TestPoint_Keystone_5005-5009_Compact,4,TestPoint,
U1,TO-263-5_TabPin3,1,LM2596S-5,C347421
U2,SOP-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,C529577
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC595,C5947
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C5199435
U6,SOP-8_3.9x4.9mm_P1.27mm,1,MAX485E,C481667
U7,SOT-23-6,1,TPL5010,C473912
