Designator,Mid X,Mid Y,Rotation,Layer
C1,90.6,-19.395,90.0,top
C10,76.235,-18.7775,270.0,top
C11,70.925,-45.995,90.0,top
C12,85.075,-68.85,270.0,top
C13,89.6,-19.375,270.0,top
C16,88.8875,-55.0875,180.0,top
C17,70.925,-43.995,270.0,top
C18,48.75,-17.7,90.0,top
C2,50.35,-16.725,270.0,top
C20,65.22,-14.7775,0.0,top
C23,63.025,-46.67,90.0,top
C28,19.5,-14.1,180.0,top
C29,40.825,-36.35,90.0,top
C3,82.18,-41.725,90.0,top
C4,86.39,-41.705,90.0,top
C8,31.375,-38.2,90.0,top
C9,77.325,-18.7775,270.0,top
D1,54.12,-7.475,90.0,top
D10,35.77,-53.025,180.0,top
D11,57.79,-53.025,180.0,top
D12,49.2225,-72.185,90.0,top
D14,13.75,-53.025,180.0,top
D16,59.3675,-72.185,90.0,top
D18,24.76,-53.025,180.0,top
D2,64.2875,-7.475,90.0,top
D20,72.0925,-72.185,90.0,top
D21,82.2525,-72.23,90.0,top
D22,46.78,-53.025,180.0,top
D23,68.8,-53.025,180.0,top
D24,5.4,-24.875,270.0,top
D25,68.1,-25.68,180.0,top
D26,68.125,-31.2325,180.0,top
D3,48.6,-31.025,180.0,top
D4,74.45,-7.475,90.0,top
D5,86.5625,-7.475,90.0,top
D6,81.375,-52.875,0.0,top
D7,81.375,-50.775,0.0,top
D8,67.0125,-72.185,90.0,top
D9,77.16,-72.23,90.0,top
J1,96.7,-49.1,90.0,top
J2,96.3625,-61.4,90.0,top
J3,5.4,-31.85,0.0,top
J4,53.6,-32.045,90.0,top
J5,62.95,-24.9,90.0,top
J6,50.025,-77.325,0.0,top
J7,50.0,-2.675,180.0,top
J8,62.95,-32.0,90.0,top
J9,92.15,-50.325,270.0,top
K1,38.959,-62.19,0.0,top
K2,60.973,-62.19,0.0,top
K3,49.966,-62.19,0.0,top
K4,71.98,-62.19,0.0,top
K5,16.945,-62.19,0.0,top
K7,27.952,-62.19,0.0,top
L1,15.975,-39.55,0.0,top
Q1,89.8875,-57.3875,0.0,top
Q2,89.8875,-60.95,0.0,top
Q3,62.7385,-52.0,90.0,top
Q4,73.75,-52.0,90.0,top
Q5,51.727,-52.0,90.0,top
Q6,18.6925,-52.0,90.0,top
Q7,40.7155,-52.0,90.0,top
Q9,29.704,-52.0,90.0,top
R1,83.5,-42.275,90.0,top
R10,80.175,-18.2075,90.0,top
R11,73.235,-18.2075,90.0,top
R12,76.445,-7.475,90.0,top
R13,84.5625,-7.475,90.0,top
R14,88.3,-18.775,270.0,top
R15,84.875,-52.675,180.0,top
R16,84.875,-50.975,180.0,top
R17,36.47,-50.95,0.0,top
R18,68.8125,-72.6,90.0,top
R19,58.49,-50.95,0.0,top
R2,87.69,-42.305,90.0,top
R20,78.985,-72.6,90.0,top
R21,14.45,-50.95,0.0,top
R22,47.48,-50.95,0.0,top
R23,73.8925,-72.6,90.0,top
R24,69.5,-50.95,0.0,top
R25,84.0525,-72.6,90.0,top
R26,55.51,-24.97,270.0,top
R27,53.68,-24.96,270.0,top
R28,51.84,-24.96,270.0,top
R29,55.73,-13.15,90.0,top
R3,85.13,-42.275,270.0,top
R30,51.37,-13.14,90.0,top
R31,53.6,-13.13,270.0,top
R32,61.5,-17.25,90.0,top
R33,63.2,-17.23,90.0,top
R35,51.0425,-72.6,90.0,top
R38,25.46,-50.95,0.0,top
R39,61.2175,-72.6,90.0,top
R4,89.29,-42.305,270.0,top
R42,67.75,-23.855,180.0,top
R43,67.775,-33.0325,180.0,top
R44,71.3,-38.1,90.0,top
R5,56.135,-7.475,90.0,top
R6,66.2875,-7.475,90.0,top
R7,48.975,-32.825,0.0,top
R8,78.625,-18.2075,270.0,top
R9,74.835,-18.2075,270.0,top
SW1,76.425,-47.075,0.0,top
SW2,76.425,-42.775,0.0,top
TP1,5.05,-40.975,0.0,top
TP2,5.05,-50.275,0.0,top
TP3,5.05,-45.625,0.0,top
TP4,5.05,-54.925,0.0,top
U1,19.175,-27.5,0.0,top
U2,82.9,-59.8,270.0,top
U3,83.25,-30.35,270.0,top
U4,58.625,-41.915,180.0,top
U5,34.45,-14.9,180.0,top
U6,53.655,-19.535,0.0,top
U7,66.35,-17.175,180.0,top
